image,category,subcategory,repeat,Unnamed: 3,task,block,presentation
CFD-BM-230-232-N.jpg,faces,male,0,,1back,73,1
CFD-BF-001-025-N.jpg,faces,female,0,,1back,73,1
nutcracker01.jpg,objects,manmade,0,,1back,73,1
blackberry.jpg,objects,natural,0,,1back,73,1
natu138.jpg,scenes,natural,0,,1back,73,1
beach_11_02_ask.jpg,scenes,natural,0,,1back,73,1
CFD-AM-215-120-N.jpg,faces,male,1,,1back,73,1
CFD-AM-215-120-N.jpg,faces,male,1,,1back,73,2
FreeFoto_beach_14_12.jpg,scenes,natural,0,,1back,73,1
FreeFoto_beach_24_43.jpg,scenes,natural,0,,1back,73,1
CFD-LF-201-035-N.jpg,faces,female,1,,1back,73,1
CFD-LF-201-035-N.jpg,faces,female,1,,1back,73,2
redfox.jpg,objects,natural,0,,1back,73,1
umbrella01.jpg,objects,manmade,0,,1back,73,1
CFD-BF-225-192-N.jpg,faces,female,1,,1back,73,1
CFD-BF-225-192-N.jpg,faces,female,1,,1back,73,2
CFD-WM-238-020-N.jpg,faces,male,1,,1back,73,1
CFD-WM-238-020-N.jpg,faces,male,1,,1back,73,2
1_gymEmpty.jpg,scenes,manmade,0,,1back,73,1
CFD-WM-025-002-N.jpg,faces,male,1,,1back,73,1
CFD-WM-025-002-N.jpg,faces,male,1,,1back,73,2
restau.04.jpg,scenes,manmade,0,,1back,73,1
lawnmowertractor.jpg,objects,manmade,1,,1back,73,1
lawnmowertractor.jpg,objects,manmade,1,,1back,73,2
crique_09_16_altavista.jpg,scenes,natural,0,,1back,73,1
leaf05.jpg,objects,natural,1,,1back,73,1
leaf05.jpg,objects,natural,1,,1back,73,2
beach_138_10_flickr.jpg,scenes,natural,0,,1back,73,1
CFD-BF-213-188-N.jpg,faces,female,0,,1back,73,1
peacock.jpg,objects,natural,0,,1back,73,1
taillight.jpg,objects,manmade,1,,1back,73,1
taillight.jpg,objects,manmade,1,,1back,73,2
volcano34.jpg,scenes,natural,1,,1back,73,1
volcano34.jpg,scenes,natural,1,,1back,73,2
CFD-BF-238-190-N.jpg,faces,female,0,,1back,73,1
148935652_2973783807.jpg,scenes,manmade,0,,1back,73,1
CFD-WM-009-002-N.jpg,faces,male,0,,1back,73,1
214classroom.jpg,scenes,manmade,1,,1back,73,1
214classroom.jpg,scenes,manmade,1,,1back,73,2
macaque.jpg,objects,natural,0,,1back,73,1
CFD-WM-253-119-N.jpg,faces,male,0,,1back,73,1
CFD-WF-205-006-N.jpg,faces,female,0,,1back,73,1
CFD-BF-020-002-N.jpg,faces,female,0,,1back,73,1
Icebergrce.jpg,scenes,natural,0,,1back,73,1
glasses01b.jpg,objects,manmade,1,,1back,73,1
glasses01b.jpg,objects,manmade,1,,1back,73,2
tennisball01a.jpg,objects,manmade,0,,1back,73,1
Santos_Campground.jpg,scenes,manmade,0,,1back,73,1
CFD-WM-023-001-N.jpg,faces,male,0,,1back,73,1
CFD-WM-234-118-N.jpg,faces,male,0,,1back,73,1
starfish01.jpg,objects,natural,0,,1back,73,1
cherrypicker.jpg,objects,manmade,0,,1back,73,1
CFD-BF-248-149-N.jpg,faces,female,0,,1back,73,1
grape02.jpg,objects,natural,0,,1back,73,1
CFD-AM-217-085-N.jpg,faces,male,1,,1back,73,1
CFD-AM-217-085-N.jpg,faces,male,1,,1back,73,2
thumbtack02a.jpg,objects,manmade,0,,1back,73,1
BruceMcAlpineIceberg-large.jpg,scenes,natural,0,,1back,73,1
seafoodbuffet.jpg,scenes,manmade,0,,1back,73,1
CFD-WF-248-129-N.jpg,faces,female,0,,1back,73,1
plant09.jpg,objects,natural,0,,1back,73,1
sealion.jpg,objects,natural,1,,1back,73,1
sealion.jpg,objects,natural,1,,1back,73,2
canyon_25_01_askl.jpg,scenes,natural,1,,1back,73,1
canyon_25_01_askl.jpg,scenes,natural,1,,1back,73,2
LS009898.jpg,scenes,manmade,1,,1back,73,1
LS009898.jpg,scenes,manmade,1,,1back,73,2
CFD-WF-242-001-N.jpg,faces,female,0,,1back,73,1
CFD-AM-228-214-N.jpg,faces,male,0,,1back,73,1
CFD-WM-237-052-N.jpg,faces,male,0,,1back,73,1
storaebeltbridge.jpg,scenes,manmade,0,,1back,73,1
c_791076.jpg,scenes,manmade,0,,1back,73,1
CFD-AF-256-160-N.jpg,faces,female,0,,1back,73,1
field_05_05_ask.jpg,scenes,natural,1,,1back,73,1
field_05_05_ask.jpg,scenes,natural,1,,1back,73,2
0gefHLp8G0hS8ab5T1BKhdescQ3UG016_800x600.jpg,scenes,manmade,1,,1back,73,1
0gefHLp8G0hS8ab5T1BKhdescQ3UG016_800x600.jpg,scenes,manmade,1,,1back,73,2
electricmixer.jpg,objects,manmade,1,,1back,73,1
electricmixer.jpg,objects,manmade,1,,1back,73,2
screw02.jpg,objects,manmade,0,,1back,73,1
flowerwreath.jpg,objects,natural,1,,1back,73,1
flowerwreath.jpg,objects,natural,1,,1back,73,2
des16.jpg,scenes,natural,0,,1back,73,1
nat947.jpg,scenes,natural,0,,1back,73,1
CFD-WF-221-005-N.jpg,faces,female,1,,1back,73,1
CFD-WF-221-005-N.jpg,faces,female,1,,1back,73,2
CFD-WF-227-002-N.jpg,faces,female,0,,1back,73,1
CFD-AF-236-145-N.jpg,faces,female,0,,1back,73,1
coffeepot03b.jpg,objects,manmade,0,,1back,73,1
CFD-WM-216-061-N.jpg,faces,male,0,,1back,73,1
rock01a.jpg,objects,natural,1,,1back,73,1
rock01a.jpg,objects,natural,1,,1back,73,2
FreeFoto_beach_24_9.jpg,scenes,natural,1,,1back,73,1
FreeFoto_beach_24_9.jpg,scenes,natural,1,,1back,73,2
beach_02_10_yahoo.jpg,scenes,natural,0,,1back,73,1
CFD-BM-219-141-N.jpg,faces,male,0,,1back,73,1
Playground-2568.jpg,scenes,manmade,1,,1back,73,1
Playground-2568.jpg,scenes,manmade,1,,1back,73,2
int347.jpg,scenes,manmade,0,,1back,73,1
CFD-AF-224-026-N.jpg,faces,female,0,,1back,73,1
studio643.jpg,scenes,manmade,0,,1back,73,1
interiorconcert01..jpg,scenes,manmade,1,,1back,73,1
interiorconcert01..jpg,scenes,manmade,1,,1back,73,2
CFD-LM-228-188-N.jpg,faces,male,1,,1back,73,1
CFD-LM-228-188-N.jpg,faces,male,1,,1back,73,2
locker.jpg,objects,manmade,0,,1back,73,1
CFD-WM-026-001-N.jpg,faces,male,0,,1back,73,1
bison.jpg,objects,natural,1,,1back,73,1
bison.jpg,objects,natural,1,,1back,73,2
ostrich.jpg,objects,natural,0,,1back,73,1
stringbean02a.jpg,objects,natural,0,,1back,73,1
artichoke01a.jpg,objects,natural,0,,1back,73,1
CFD-LF-210-220-N.jpg,faces,female,0,,1back,73,1
grasshopper.jpg,objects,natural,0,,1back,73,1
BB-WA-Zillah-Teapot_Gas_Station.jpg,scenes,manmade,0,,1back,73,1
CFD-AM-234-355-N.jpg,faces,male,0,,1back,73,1
sandcastle.jpg,objects,manmade,0,,1back,73,1
n213075.jpg,scenes,natural,0,,1back,73,1
level01a.jpg,objects,manmade,0,,1back,73,1
door.jpg,objects,manmade,0,,1back,73,1
calanques_22_13_altavista.jpg,scenes,natural,0,,1back,73,1
plant11.jpg,objects,natural,0,,1back,73,1
parrot01.jpg,objects,natural,0,,1back,73,1
ladybug02.jpg,objects,natural,0,,1back,73,1
CFD-LF-239-148-N.jpg,faces,female,1,,1back,73,1
CFD-LF-239-148-N.jpg,faces,female,1,,1back,73,2
classroom-001.jpg,scenes,manmade,0,,1back,73,1
soapdispenser04.jpg,objects,manmade,0,,1back,73,1
sailboat.jpg,objects,manmade,0,,1back,73,1
lipstick03a.jpg,objects,manmade,1,,1back,73,1
lipstick03a.jpg,objects,manmade,1,,1back,73,2
CFD-AF-227-207-N.jpg,faces,female,1,,1back,73,1
CFD-AF-227-207-N.jpg,faces,female,1,,1back,73,2
egg02.jpg,objects,natural,0,,1back,73,1
namibiefishriver03.jpg,scenes,natural,0,,1back,73,1
CFD-BF-030-002-N.jpg,faces,female,1,,1back,73,1
CFD-BF-030-002-N.jpg,faces,female,1,,1back,73,2
gym07.jpg,scenes,manmade,0,,1back,73,1
drum04.jpg,objects,manmade,0,,1back,73,1
room317.jpg,scenes,manmade,0,,1back,73,1
CFD-AF-212-097-N.jpg,faces,female,0,,1back,73,1
CFD-BM-023-029-N.jpg,faces,male,0,,1back,73,1
seal.jpg,objects,natural,0,,1back,73,1
CFD-LM-239-075-N.jpg,faces,male,0,,1back,73,1
CFD-AF-228-173-N.jpg,faces,female,1,,1back,73,1
CFD-AF-228-173-N.jpg,faces,female,1,,1back,73,2
pineapple01b.jpg,objects,natural,0,,1back,73,1
WilliamsStreamOutlet1.jpg,scenes,natural,0,,1back,73,1
pitchfork.jpg,objects,manmade,1,,1back,73,1
pitchfork.jpg,objects,manmade,1,,1back,73,2
seashell02.jpg,objects,natural,1,,1back,73,1
seashell02.jpg,objects,natural,1,,1back,73,2
ginger.jpg,objects,natural,0,,1back,73,1
archi151.jpg,scenes,manmade,0,,1back,73,1
FreeFoto_coast_2_16.jpg,scenes,natural,1,,1back,73,1
FreeFoto_coast_2_16.jpg,scenes,natural,1,,1back,73,2
watch03a.jpg,objects,manmade,0,,1back,73,1
Fairmont_Hotel_Lobby_PC_SF_CA.jpg,scenes,manmade,0,,1back,73,1
boat.jpg,objects,manmade,0,,1back,73,1
giraffe.jpg,objects,natural,1,,1back,73,1
giraffe.jpg,objects,natural,1,,1back,73,2
NA004783.jpg,scenes,natural,0,,1back,73,1
CFD-BM-241-235-N.jpg,faces,male,0,,1back,73,1
A549048.jpg,scenes,manmade,0,,1back,73,1
CFD-BM-235-226-N.jpg,faces,male,1,,1back,73,1
CFD-BM-235-226-N.jpg,faces,male,1,,1back,73,2
computermouse02b.jpg,objects,manmade,0,,1back,73,1
toothbrush04a.jpg,objects,manmade,0,,1back,73,1
CFD-BM-025-035-N.jpg,faces,male,0,,1back,73,1
oyster01.jpg,objects,natural,0,,1back,73,1
b_371057.jpg,scenes,natural,0,,1back,73,1
CFD-AF-242-158-N.jpg,faces,female,0,,1back,73,1
tiger01.jpg,objects,natural,1,,1back,73,1
tiger01.jpg,objects,natural,1,,1back,73,2
electricguitar01.jpg,objects,manmade,1,,1back,73,1
electricguitar01.jpg,objects,manmade,1,,1back,73,2
CFD-AM-212-050-N.jpg,faces,male,1,,1back,73,1
CFD-AM-212-050-N.jpg,faces,male,1,,1back,73,2
private21.jpg,scenes,manmade,0,,1back,73,1
morrison-garden.jpg,scenes,manmade,0,,1back,73,1
cloud.jpg,objects,natural,0,,1back,73,1
